time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1708.0
100,6.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1708.0
200,,,,,,,,,
300,,,,,,,,,1708.0
400,4.0,0.0,4.0,10.0,0.0,1.0,0.0,0.0,1708.0
500,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
600,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
700,,,,,,,,,
800,,,,,,,,,1708.0
900,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1708.0
1000,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1708.0
1100,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,1708.0
1200,,,,,,,,,
1300,,,,,,,,,1708.0
1400,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1516.0
1500,4.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1708.0
1600,5.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1708.0
1700,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1708.0
1800,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
1900,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
2000,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1708.0
2100,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
2200,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708.0
2300,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
2400,,,,,,,,,
2500,,,,,,,,,1708.0
2600,4.0,0.0,6.0,9.0,0.0,0.0,1.0,0.0,1708.0
2700,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
2800,,,,,,,,,
2900,,,,,,,,,1708.0
3000,5.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1708.0
3100,5.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1708.0
3200,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
3300,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1708.0
3400,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1708.0
3500,,,,,,,,,
3600,,,,,,,,,1708.0
3700,2.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1708.0
3800,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1708.0
3900,,,,,,,,,
4000,,,,,,,,,1708.0
4100,4.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,1708.0
4200,5.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1708.0
4300,,,,,,,,,
4400,,,,,,,,,1708.0
4500,5.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1708.0
4600,,,,,,,,,
4700,,,,,,,,,1708.0
4800,4.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,1708.0
4900,,,,,,,,,
5000,,,,,,,,,1708.0
5100,,,,,,,,,
5200,,,,,,,,,1708.0
5300,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
5400,2.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,1708.0
5500,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
5600,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1708.0
5700,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
5800,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1708.0
5900,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1708.0
6000,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
6100,3.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,1708.0
6200,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
6300,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1708.0
6400,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
6500,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
6600,,,,,,,,,
6700,,,,,,,,,1708.0
6800,6.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,1708.0
6900,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
7000,,,,,,,,,
7100,,,,,,,,,1708.0
7200,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
7300,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
7400,5.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,1708.0
7500,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1708.0
7600,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1708.0
7700,,,,,,,,,
7800,,,,,,,,,1708.0
7900,5.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1708.0
8000,5.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1708.0
