time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1708.0
100,8.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,1708.0
200,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1708.0
300,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1708.0
400,7.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
500,,,,,,,,,
600,,,,,,,,,1708.0
700,9.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1708.0
800,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1708.0
900,,,,,,,,,
1000,,,,,,,,,1708.0
1100,6.0,0.0,7.0,3.0,0.0,1.0,1.0,0.0,1708.0
1200,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
1300,,,,,,,,,
1400,,,,,,,,,1708.0
1500,,,,,,,,,
1600,,,,,,,,,1708.0
1700,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1708.0
1800,5.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1708.0
1900,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
2000,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
2100,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
2200,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1708.0
2300,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
2400,5.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708.0
2500,4.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1708.0
2600,,,,,,,,,
2700,,,,,,,,,1708.0
2800,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
2900,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
3000,7.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
3100,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708.0
3200,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
3300,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
3400,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1708.0
3500,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1708.0
3600,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1708.0
3700,,,,,,,,,
3800,,,,,,,,,1708.0
3900,5.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1708.0
4000,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
4100,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
4200,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1708.0
4300,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
4400,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
4500,3.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,1708.0
4600,,,,,,,,,
4700,,,,,,,,,
4800,,,,,,,,,
4900,,,,,,,,,
5000,,,,,,,,,
5100,,,,,,,,,
5200,,,,,,,,,
5300,,,,,,,,,
5400,,,,,,,,,
5500,,,,,,,,,
5600,,,,,,,,,
5700,,,,,,,,,
5800,,,,,,,,,
5900,,,,,,,,,
6000,,,,,,,,,
6100,,,,,,,,,
6200,,,,,,,,,
6300,,,,,,,,,
6400,,,,,,,,,
6500,,,,,,,,,
6600,,,,,,,,,1708.0
6700,4.0,0.0,12.0,191.0,0.0,1.0,1.0,0.0,1708.0
6800,4.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1708.0
6900,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
7000,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
7100,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1708.0
7200,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
7300,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1708.0
7400,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
7500,,,,,,,,,
7600,,,,,,,,,1708.0
7700,2.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,1708.0
7800,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
7900,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
