,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
13,1300,0.08333333333333333,1747.0,8,fc
14,1400,0.16666666666666666,1996.0,8,fc
15,1500,0.3333333333333333,1996.0,8,fc
16,1600,0.1,825.0,8,fc
17,1700,,,8,fc
18,1800,,,8,fc
19,1900,,1996.0,8,fc
20,2000,0.13043478260869565,1996.0,8,fc
21,2100,0.18181818181818185,1747.0,8,fc
22,2200,0.15384615384615385,1996.0,8,fc
23,2300,0.0,1996.0,8,fc
24,2400,,,8,fc
25,2500,,1536.0,8,fc
26,2600,0.15384615384615385,825.0,8,fc
27,2700,0.25,1747.0,8,fc
28,2800,,,8,fc
29,2900,,825.0,8,fc
30,3000,0.10526315789473684,1996.0,8,fc
31,3100,0.2,1996.0,8,fc
32,3200,,,8,fc
33,3300,,1996.0,8,fc
34,3400,0.2,1747.0,8,fc
35,3500,0.0,1536.0,8,fc
36,3600,0.2,1996.0,8,fc
37,3700,0.0,1536.0,8,fc
38,3800,0.1,1536.0,8,fc
39,3900,,,8,fc
40,4000,,1996.0,8,fc
41,4100,0.125,1843.0,8,fc
42,4200,,,8,fc
43,4300,,825.0,8,fc
44,4400,0.0,1996.0,8,fc
45,4500,0.2,1996.0,8,fc
46,4600,0.0,1132.0,8,fc
47,4700,0.2,1536.0,8,fc
48,4800,0.2307692307692308,1132.0,8,fc
49,4900,0.15384615384615385,979.0,8,fc
50,5000,,,8,fc
51,5100,,1363.0,8,fc
52,5200,0.09090909090909093,1996.0,8,fc
53,5300,0.125,1996.0,8,fc
54,5400,0.2,1996.0,8,fc
55,5500,0.1111111111111111,1843.0,8,fc
56,5600,0.3,1363.0,8,fc
57,5700,0.0,1996.0,8,fc
58,5800,0.2222222222222222,1996.0,8,fc
59,5900,0.1111111111111111,1996.0,8,fc
60,6000,,,8,fc
61,6100,,1996.0,8,fc
62,6200,0.25,1996.0,8,fc
63,6300,0.2,825.0,8,fc
64,6400,0.0,1996.0,8,fc
65,6500,,,8,fc
66,6600,,1747.0,8,fc
67,6700,0.0,1747.0,8,fc
68,6800,0.0,1996.0,8,fc
69,6900,0.25,1363.0,8,fc
70,7000,0.1,1996.0,8,fc
71,7100,0.16666666666666666,1996.0,8,fc
72,7200,0.2,1843.0,8,fc
73,7300,,,8,fc
74,7400,,1747.0,8,fc
75,7500,0.2727272727272727,1363.0,8,fc
76,7600,0.3,1747.0,8,fc
77,7700,0.2222222222222222,825.0,8,fc
78,7800,0.18181818181818185,1747.0,8,fc
79,7900,0.2,1996.0,8,fc
80,8000,0.3,825.0,8,fc
0,0,,1996.0,8,fc
1,100,1.0,1996.0,8,fc
2,200,0.8333333333333334,1996.0,8,fc
3,300,1.0,1996.0,8,fc
4,400,,,8,fc
5,500,,1996.0,8,fc
6,600,0.3333333333333333,1996.0,8,fc
7,700,0.4615384615384616,1843.0,8,fc
8,800,,,8,fc
9,900,,1996.0,8,fc
10,1000,0.1,1996.0,8,fc
11,1100,0.1,1536.0,8,fc
12,1200,0.3,825.0,8,fc
13,1300,0.0,825.0,8,fc
14,1400,0.1111111111111111,1747.0,8,fc
15,1500,,,8,fc
16,1600,,825.0,8,fc
17,1700,0.14285714285714285,1996.0,8,fc
18,1800,0.16666666666666666,1843.0,8,fc
19,1900,0.3333333333333333,1996.0,8,fc
20,2000,0.09090909090909093,1996.0,8,fc
21,2100,0.0,1996.0,8,fc
22,2200,0.16666666666666666,1996.0,8,fc
23,2300,0.08333333333333333,825.0,8,fc
24,2400,,,8,fc
25,2500,,1132.0,8,fc
26,2600,,,8,fc
27,2700,,1996.0,8,fc
28,2800,0.15,1996.0,8,fc
29,2900,0.08333333333333333,1132.0,8,fc
30,3000,0.15384615384615385,1747.0,8,fc
31,3100,,,8,fc
32,3200,,1747.0,8,fc
33,3300,0.18181818181818185,1747.0,8,fc
34,3400,0.18181818181818185,1747.0,8,fc
35,3500,0.1,1747.0,8,fc
36,3600,0.15384615384615385,1996.0,8,fc
37,3700,,,8,fc
38,3800,,1747.0,8,fc
39,3900,0.15384615384615385,1996.0,8,fc
40,4000,0.2,1996.0,8,fc
41,4100,0.1111111111111111,825.0,8,fc
42,4200,0.2727272727272727,1996.0,8,fc
43,4300,0.15384615384615385,1747.0,8,fc
44,4400,,,8,fc
45,4500,,1996.0,8,fc
46,4600,0.16666666666666666,1536.0,8,fc
47,4700,0.09090909090909093,1996.0,8,fc
48,4800,,,8,fc
49,4900,,1747.0,8,fc
50,5000,0.15384615384615385,1536.0,8,fc
51,5100,0.1,1996.0,8,fc
52,5200,0.16666666666666666,825.0,8,fc
53,5300,0.0,1996.0,8,fc
54,5400,,,8,fc
55,5500,,1363.0,8,fc
56,5600,0.375,1843.0,8,fc
57,5700,0.1111111111111111,1536.0,8,fc
58,5800,0.13333333333333333,825.0,8,fc
59,5900,0.09090909090909093,1843.0,8,fc
60,6000,,,8,fc
61,6100,,1363.0,8,fc
62,6200,0.2857142857142857,1536.0,8,fc
63,6300,0.09090909090909093,1747.0,8,fc
64,6400,0.2,979.0,8,fc
65,6500,0.09090909090909093,825.0,8,fc
66,6600,0.08333333333333333,825.0,8,fc
67,6700,,,8,fc
68,6800,,825.0,8,fc
69,6900,0.1176470588235294,1536.0,8,fc
70,7000,0.1,1536.0,8,fc
71,7100,,,8,fc
72,7200,,1871.5,8,fc
73,7300,0.1875,1996.0,8,fc
74,7400,0.0,1996.0,8,fc
75,7500,0.1,1996.0,8,fc
76,7600,,,8,fc
77,7700,,1843.0,8,fc
78,7800,0.0,1536.0,8,fc
79,7900,,,8,fc
80,8000,,1996.0,8,fc
0,0,,1996.0,8,fc
1,100,0.9189189189189191,1996.0,8,fc
2,200,,,8,fc
3,300,,1996.0,8,fc
4,400,0.9166666666666666,1996.0,8,fc
5,500,0.8888888888888888,1996.0,8,fc
6,600,0.5555555555555556,1363.0,8,fc
7,700,0.26666666666666666,979.0,8,fc
8,800,0.1,1996.0,8,fc
9,900,,,8,fc
10,1000,,1996.0,8,fc
11,1100,0.16666666666666666,1996.0,8,fc
12,1200,0.0,1536.0,8,fc
13,1300,0.18181818181818185,1747.0,8,fc
14,1400,0.2857142857142857,1363.0,8,fc
15,1500,,,8,fc
16,1600,,1996.0,8,fc
17,1700,0.07142857142857142,1996.0,8,fc
18,1800,0.15384615384615385,1536.0,8,fc
19,1900,0.18181818181818185,1363.0,8,fc
20,2000,0.25,1996.0,8,fc
21,2100,,,8,fc
22,2200,,1996.0,8,fc
23,2300,0.2857142857142857,1996.0,8,fc
24,2400,0.0,1996.0,8,fc
25,2500,0.18181818181818185,1996.0,8,fc
26,2600,0.25,1996.0,8,fc
27,2700,0.25,1996.0,8,fc
28,2800,0.2222222222222222,1996.0,8,fc
29,2900,0.0,1996.0,8,fc
30,3000,0.09090909090909093,1536.0,8,fc
31,3100,0.09090909090909093,825.0,8,fc
32,3200,0.09090909090909093,1363.0,8,fc
33,3300,0.3333333333333333,1363.0,8,fc
34,3400,0.2727272727272727,1363.0,8,fc
35,3500,0.1111111111111111,825.0,8,fc
36,3600,0.25,1996.0,8,fc
37,3700,0.1,825.0,8,fc
38,3800,0.1,1996.0,8,fc
39,3900,0.1,1996.0,8,fc
40,4000,0.0,1536.0,8,fc
41,4100,0.0,1996.0,8,fc
42,4200,,,8,fc
43,4300,,,8,fc
44,4400,,,8,fc
45,4500,,,8,fc
46,4600,,1996.0,8,fc
47,4700,,,8,fc
48,4800,,1536.0,8,fc
49,4900,0.18181818181818185,825.0,8,fc
50,5000,0.1,825.0,8,fc
51,5100,0.16666666666666666,1536.0,8,fc
52,5200,,,8,fc
53,5300,,1996.0,8,fc
54,5400,0.08333333333333333,1536.0,8,fc
55,5500,0.0,1996.0,8,fc
56,5600,0.2,1996.0,8,fc
57,5700,0.1111111111111111,1996.0,8,fc
58,5800,0.35714285714285715,1996.0,8,fc
59,5900,0.25,825.0,8,fc
60,6000,,,8,fc
61,6100,,1257.5,8,fc
62,6200,0.038461538461538464,825.0,8,fc
63,6300,,,8,fc
64,6400,,1536.0,8,fc
65,6500,0.08333333333333333,1363.0,8,fc
66,6600,0.3076923076923077,1996.0,8,fc
67,6700,,,8,fc
68,6800,,1996.0,8,fc
69,6900,0.17647058823529413,1536.0,8,fc
70,7000,0.0,1536.0,8,fc
71,7100,0.09090909090909093,825.0,8,fc
72,7200,0.375,1996.0,8,fc
73,7300,0.0,979.0,8,fc
74,7400,,,8,fc
75,7500,,1843.0,8,fc
76,7600,0.07692307692307693,1996.0,8,fc
77,7700,0.08333333333333333,1536.0,8,fc
78,7800,,,8,fc
79,7900,,1996.0,8,fc
80,8000,0.0,1536.0,8,fc
0,0,,1996.0,8,fc
1,100,,,8,fc
2,200,,1996.0,8,fc
3,300,0.8461538461538461,1996.0,8,fc
4,400,1.0,1996.0,8,fc
5,500,0.8461538461538461,1996.0,8,fc
6,600,0.25,1747.0,8,fc
7,700,,,8,fc
8,800,,1747.0,8,fc
9,900,0.25,1363.0,8,fc
10,1000,0.2727272727272727,825.0,8,fc
11,1100,0.1,1536.0,8,fc
12,1200,0.16666666666666666,1747.0,8,fc
13,1300,,,8,fc
14,1400,,1449.5,8,fc
15,1500,,,8,fc
16,1600,,825.0,8,fc
17,1700,0.08333333333333333,1996.0,8,fc
18,1800,0.0,1536.0,8,fc
19,1900,0.18181818181818185,1996.0,8,fc
20,2000,0.16666666666666666,1747.0,8,fc
21,2100,0.1111111111111111,1996.0,8,fc
22,2200,0.16666666666666666,1996.0,8,fc
23,2300,,,8,fc
24,2400,,1996.0,8,fc
25,2500,0.09090909090909093,1747.0,8,fc
26,2600,0.09090909090909093,1843.0,8,fc
27,2700,0.14285714285714285,1996.0,8,fc
28,2800,0.09090909090909093,1536.0,8,fc
29,2900,0.0,1843.0,8,fc
30,3000,,,8,fc
31,3100,,1996.0,8,fc
32,3200,0.09090909090909093,1996.0,8,fc
33,3300,0.1,1536.0,8,fc
34,3400,,,8,fc
35,3500,,1996.0,8,fc
36,3600,0.06666666666666668,1996.0,8,fc
37,3700,,,8,fc
38,3800,,,8,fc
39,3900,,,8,fc
40,4000,,,8,fc
41,4100,,,8,fc
42,4200,,,8,fc
43,4300,,1132.0,8,fc
44,4400,0.07575757575757576,1536.0,8,fc
45,4500,0.16666666666666666,1747.0,8,fc
46,4600,,,8,fc
47,4700,,1996.0,8,fc
48,4800,0.17142857142857146,1410.5,8,fc
49,4900,0.07407407407407407,1996.0,8,fc
50,5000,,,8,fc
51,5100,,1747.0,8,fc
52,5200,0.1111111111111111,1996.0,8,fc
53,5300,0.2,1996.0,8,fc
54,5400,0.18181818181818185,825.0,8,fc
55,5500,0.08333333333333333,1363.0,8,fc
56,5600,0.3,1747.0,8,fc
57,5700,0.18181818181818185,1996.0,8,fc
58,5800,0.18181818181818185,1363.0,8,fc
59,5900,0.0,1843.0,8,fc
60,6000,0.1,1536.0,8,fc
61,6100,0.3636363636363637,1996.0,8,fc
62,6200,0.2,1536.0,8,fc
63,6300,,,8,fc
64,6400,,1996.0,8,fc
65,6500,0.05555555555555555,1363.0,8,fc
66,6600,0.09090909090909093,1536.0,8,fc
67,6700,0.09090909090909093,1536.0,8,fc
68,6800,0.2857142857142857,1996.0,8,fc
69,6900,,,8,fc
70,7000,,1747.0,8,fc
71,7100,0.1176470588235294,1555.0,8,fc
72,7200,,,8,fc
73,7300,,1996.0,8,fc
74,7400,0.18181818181818185,825.0,8,fc
75,7500,0.0625,1363.0,8,fc
76,7600,0.09090909090909093,1536.0,8,fc
77,7700,0.2,1843.0,8,fc
78,7800,0.1,1363.0,8,fc
79,7900,,,8,fc
80,8000,,1919.5,8,fc
0,0,,1996.0,8,fc
1,100,0.9736842105263158,1996.0,8,fc
2,200,0.8846153846153846,1996.0,8,fc
3,300,,,8,fc
4,400,,1996.0,8,fc
5,500,0.75,1536.0,8,fc
6,600,0.16666666666666666,1536.0,8,fc
7,700,,,8,fc
8,800,,1996.0,8,fc
9,900,0.2380952380952381,1996.0,8,fc
10,1000,0.2,1363.0,8,fc
11,1100,0.25,1996.0,8,fc
12,1200,0.0,1843.0,8,fc
13,1300,0.125,1996.0,8,fc
14,1400,0.3,1996.0,8,fc
15,1500,0.2222222222222222,1747.0,8,fc
16,1600,0.38461538461538464,1363.0,8,fc
17,1700,0.2727272727272727,1363.0,8,fc
18,1800,,,8,fc
19,1900,,1843.0,8,fc
20,2000,0.0,1996.0,8,fc
21,2100,0.2,1996.0,8,fc
22,2200,0.1111111111111111,1996.0,8,fc
23,2300,0.0,1536.0,8,fc
24,2400,0.1,1996.0,8,fc
25,2500,0.21428571428571427,1996.0,8,fc
26,2600,0.1111111111111111,1363.0,8,fc
27,2700,0.09090909090909093,1996.0,8,fc
28,2800,0.2307692307692308,1363.0,8,fc
29,2900,0.14285714285714285,1536.0,8,fc
30,3000,0.0,1363.0,8,fc
31,3100,,,8,fc
32,3200,,1996.0,8,fc
33,3300,0.26666666666666666,1996.0,8,fc
34,3400,0.0,825.0,8,fc
35,3500,0.2,1996.0,8,fc
36,3600,0.1,1996.0,8,fc
37,3700,,,8,fc
38,3800,,1996.0,8,fc
39,3900,0.09090909090909093,825.0,8,fc
40,4000,0.3636363636363637,1996.0,8,fc
41,4100,0.25,1996.0,8,fc
42,4200,0.08333333333333333,1996.0,8,fc
43,4300,0.1,1536.0,8,fc
44,4400,0.2307692307692308,1996.0,8,fc
45,4500,0.0,1996.0,8,fc
46,4600,0.3333333333333333,1536.0,8,fc
47,4700,0.0,1996.0,8,fc
48,4800,,,8,fc
49,4900,,1871.5,8,fc
50,5000,,,8,fc
51,5100,,1363.0,8,fc
52,5200,0.18181818181818185,1996.0,8,fc
53,5300,0.0,1996.0,8,fc
54,5400,0.2,1996.0,8,fc
55,5500,0.0,1747.0,8,fc
56,5600,0.18181818181818185,1996.0,8,fc
57,5700,0.0,979.0,8,fc
58,5800,0.3333333333333333,1747.0,8,fc
59,5900,0.0,825.0,8,fc
60,6000,0.3,1747.0,8,fc
61,6100,0.25,1996.0,8,fc
62,6200,0.0,1843.0,8,fc
63,6300,0.16666666666666666,1996.0,8,fc
64,6400,,,8,fc
65,6500,,1871.5,8,fc
66,6600,,,8,fc
67,6700,,1747.0,8,fc
68,6800,0.09090909090909093,825.0,8,fc
69,6900,0.2857142857142857,1363.0,8,fc
70,7000,0.1,1996.0,8,fc
71,7100,,,8,fc
72,7200,,1747.0,8,fc
73,7300,0.09090909090909093,1996.0,8,fc
74,7400,0.08333333333333333,1536.0,8,fc
75,7500,0.18181818181818185,1843.0,8,fc
76,7600,0.0,1996.0,8,fc
77,7700,0.1111111111111111,1747.0,8,fc
78,7800,,,8,fc
79,7900,,,8,fc
80,8000,,,8,fc
81,8100,,,8,fc
82,8200,,,8,fc
83,8300,,,8,fc
84,8400,,,8,fc
85,8500,,,8,fc
86,8600,,,8,fc
87,8700,,,8,fc
88,8800,,,8,fc
89,8900,,,8,fc
90,9000,,,8,fc
91,9100,,,8,fc
92,9200,,,8,fc
93,9300,,,8,fc
94,9400,,,8,fc
95,9500,,,8,fc
96,9600,,,8,fc
97,9700,,,8,fc
98,9800,,,8,fc
99,9900,,,8,fc
100,10000,,,8,fc
101,10100,,1536.0,8,fc
102,10200,0.012195121951219513,979.0,8,fc
0,0,,1996.0,8,fc
1,100,0.8571428571428571,1996.0,8,fc
2,200,0.8333333333333334,1996.0,8,fc
3,300,,,8,fc
4,400,,1996.0,8,fc
5,500,0.9166666666666666,1996.0,8,fc
6,600,0.6153846153846154,1996.0,8,fc
7,700,,,8,fc
8,800,,1363.0,8,fc
9,900,,,8,fc
10,1000,,1843.0,8,fc
11,1100,0.2352941176470588,1996.0,8,fc
12,1200,,,8,fc
13,1300,,1843.0,8,fc
14,1400,0.15384615384615385,1996.0,8,fc
15,1500,0.1111111111111111,1843.0,8,fc
16,1600,0.3333333333333333,1996.0,8,fc
17,1700,0.25,1996.0,8,fc
18,1800,0.09090909090909093,825.0,8,fc
19,1900,,,8,fc
20,2000,,1996.0,8,fc
21,2100,0.2,1747.0,8,fc
22,2200,0.0,825.0,8,fc
23,2300,0.1,1996.0,8,fc
24,2400,0.2222222222222222,1536.0,8,fc
25,2500,0.0,1996.0,8,fc
26,2600,0.25,1843.0,8,fc
27,2700,0.0,1363.0,8,fc
28,2800,0.2,1747.0,8,fc
29,2900,0.1,1363.0,8,fc
30,3000,,,8,fc
31,3100,,1132.0,8,fc
32,3200,0.1,1363.0,8,fc
33,3300,0.18181818181818185,1996.0,8,fc
34,3400,0.1111111111111111,1996.0,8,fc
35,3500,0.0,1747.0,8,fc
36,3600,0.07692307692307693,825.0,8,fc
37,3700,,,8,fc
38,3800,,1996.0,8,fc
39,3900,0.07142857142857142,1747.0,8,fc
40,4000,0.3,1996.0,8,fc
41,4100,,,8,fc
42,4200,,1363.0,8,fc
43,4300,0.09090909090909093,1996.0,8,fc
44,4400,0.3636363636363637,1363.0,8,fc
45,4500,0.1,1843.0,8,fc
46,4600,0.0,1747.0,8,fc
47,4700,0.0,1747.0,8,fc
48,4800,,,8,fc
49,4900,,1536.0,8,fc
50,5000,0.16666666666666666,1363.0,8,fc
51,5100,0.1,1843.0,8,fc
52,5200,0.08333333333333333,1363.0,8,fc
53,5300,0.1,1996.0,8,fc
54,5400,0.0,1747.0,8,fc
55,5500,0.2222222222222222,1843.0,8,fc
56,5600,0.2222222222222222,1996.0,8,fc
57,5700,0.2,1132.0,8,fc
58,5800,0.18181818181818185,1132.0,8,fc
59,5900,0.09090909090909093,1996.0,8,fc
60,6000,0.1,1996.0,8,fc
61,6100,0.2,825.0,8,fc
62,6200,0.2727272727272727,1996.0,8,fc
63,6300,0.3,1747.0,8,fc
64,6400,0.09090909090909093,1996.0,8,fc
65,6500,,,8,fc
66,6600,,979.0,8,fc
67,6700,0.08333333333333333,1536.0,8,fc
68,6800,0.0,1747.0,8,fc
69,6900,0.2307692307692308,1363.0,8,fc
70,7000,0.16666666666666666,1363.0,8,fc
71,7100,0.0,1996.0,8,fc
72,7200,0.1,1996.0,8,fc
73,7300,0.0,1747.0,8,fc
74,7400,0.2222222222222222,1747.0,8,fc
75,7500,0.2,1996.0,8,fc
76,7600,,,8,fc
77,7700,,1996.0,8,fc
78,7800,0.25,1843.0,8,fc
79,7900,0.09090909090909093,1363.0,8,fc
80,8000,0.0,1747.0,8,fc
0,0,,1996.0,8,fc
1,100,0.9333333333333332,1996.0,8,fc
2,200,0.9230769230769232,1996.0,8,fc
3,300,,,8,fc
4,400,,1996.0,8,fc
5,500,0.7692307692307693,1996.0,8,fc
6,600,0.3333333333333333,1996.0,8,fc
7,700,0.3,1363.0,8,fc
8,800,0.5,1996.0,8,fc
9,900,0.4166666666666667,1536.0,8,fc
10,1000,0.15384615384615385,1747.0,8,fc
11,1100,,,8,fc
12,1200,,1996.0,8,fc
13,1300,,,8,fc
14,1400,,1536.0,8,fc
15,1500,0.09090909090909093,1996.0,8,fc
16,1600,0.16666666666666666,1996.0,8,fc
17,1700,0.0,825.0,8,fc
18,1800,0.14285714285714285,1996.0,8,fc
19,1900,0.2222222222222222,825.0,8,fc
20,2000,,,8,fc
21,2100,,1843.0,8,fc
22,2200,0.0,1747.0,8,fc
23,2300,,,8,fc
24,2400,,1996.0,8,fc
25,2500,0.125,1536.0,8,fc
26,2600,0.18181818181818185,1747.0,8,fc
27,2700,0.08333333333333333,1536.0,8,fc
28,2800,0.2,979.0,8,fc
29,2900,0.18181818181818185,1843.0,8,fc
30,3000,,,8,fc
31,3100,,1996.0,8,fc
32,3200,0.18181818181818185,1843.0,8,fc
33,3300,0.09090909090909093,1996.0,8,fc
34,3400,,,8,fc
35,3500,,1996.0,8,fc
36,3600,0.16666666666666666,1843.0,8,fc
37,3700,0.09090909090909093,1996.0,8,fc
38,3800,0.3,1747.0,8,fc
39,3900,0.0,1363.0,8,fc
40,4000,,,8,fc
41,4100,,1996.0,8,fc
42,4200,0.2307692307692308,825.0,8,fc
43,4300,0.25,1843.0,8,fc
44,4400,,,8,fc
45,4500,,1996.0,8,fc
46,4600,0.1111111111111111,825.0,8,fc
47,4700,0.16666666666666666,1996.0,8,fc
48,4800,,,8,fc
49,4900,,1679.5,8,fc
50,5000,,,8,fc
51,5100,,979.0,8,fc
52,5200,0.0,1747.0,8,fc
53,5300,0.2307692307692308,1747.0,8,fc
54,5400,0.1,1996.0,8,fc
55,5500,0.0,1996.0,8,fc
56,5600,0.09090909090909093,1132.0,8,fc
57,5700,0.1,1996.0,8,fc
58,5800,0.0,1996.0,8,fc
59,5900,0.2727272727272727,1843.0,8,fc
60,6000,0.3,1996.0,8,fc
61,6100,0.1,1747.0,8,fc
62,6200,,,8,fc
63,6300,,825.0,8,fc
64,6400,0.08333333333333333,1996.0,8,fc
65,6500,0.0,1996.0,8,fc
66,6600,0.1111111111111111,1996.0,8,fc
67,6700,0.16666666666666666,1747.0,8,fc
68,6800,,,8,fc
69,6900,,825.0,8,fc
70,7000,0.1,1747.0,8,fc
71,7100,0.2222222222222222,1536.0,8,fc
72,7200,0.2307692307692308,1363.0,8,fc
73,7300,0.1111111111111111,1996.0,8,fc
74,7400,0.25,1996.0,8,fc
75,7500,0.1111111111111111,1363.0,8,fc
76,7600,0.09090909090909093,1996.0,8,fc
77,7700,,,8,fc
78,7800,,1843.0,8,fc
79,7900,0.3076923076923077,1996.0,8,fc
0,0,,1996.0,8,fc
1,100,1.0,1996.0,8,fc
2,200,0.9090909090909092,1996.0,8,fc
3,300,0.9090909090909092,1996.0,8,fc
4,400,,,8,fc
5,500,,825.0,8,fc
6,600,0.5294117647058824,1996.0,8,fc
7,700,0.2727272727272727,1996.0,8,fc
8,800,0.2,1996.0,8,fc
9,900,0.2222222222222222,1996.0,8,fc
10,1000,0.3333333333333333,1996.0,8,fc
11,1100,0.1111111111111111,1363.0,8,fc
12,1200,,,8,fc
13,1300,,825.0,8,fc
14,1400,0.16666666666666666,1747.0,8,fc
15,1500,,,8,fc
16,1600,,1996.0,8,fc
17,1700,0.05263157894736842,1996.0,8,fc
18,1800,0.2222222222222222,1363.0,8,fc
19,1900,0.2727272727272727,1363.0,8,fc
20,2000,0.16666666666666666,1996.0,8,fc
21,2100,0.2727272727272727,1996.0,8,fc
22,2200,0.125,1996.0,8,fc
23,2300,0.0,1996.0,8,fc
24,2400,0.2,1536.0,8,fc
25,2500,,,8,fc
26,2600,,,8,fc
27,2700,,1363.0,8,fc
28,2800,0.125,1363.0,8,fc
29,2900,0.1,979.0,8,fc
30,3000,0.2727272727272727,1996.0,8,fc
31,3100,0.1,1996.0,8,fc
32,3200,0.18181818181818185,1747.0,8,fc
33,3300,0.2,1536.0,8,fc
34,3400,0.0,1996.0,8,fc
35,3500,0.09090909090909093,1996.0,8,fc
36,3600,,,8,fc
37,3700,,1996.0,8,fc
38,3800,,,8,fc
39,3900,,1536.0,8,fc
40,4000,0.15384615384615385,1536.0,8,fc
41,4100,0.0,1996.0,8,fc
42,4200,0.3076923076923077,1132.0,8,fc
43,4300,0.2,1996.0,8,fc
44,4400,0.0,1996.0,8,fc
45,4500,0.2307692307692308,1996.0,8,fc
46,4600,0.0,1536.0,8,fc
47,4700,0.1111111111111111,825.0,8,fc
48,4800,0.18181818181818185,1996.0,8,fc
49,4900,0.18181818181818185,1996.0,8,fc
50,5000,0.2,825.0,8,fc
51,5100,,,8,fc
52,5200,,1996.0,8,fc
53,5300,0.4545454545454545,1996.0,8,fc
54,5400,0.16666666666666666,825.0,8,fc
55,5500,0.2727272727272727,1996.0,8,fc
56,5600,0.0,825.0,8,fc
57,5700,0.1,825.0,8,fc
58,5800,,,8,fc
59,5900,,1747.0,8,fc
60,6000,0.0,1996.0,8,fc
61,6100,0.2307692307692308,1996.0,8,fc
62,6200,0.09090909090909093,825.0,8,fc
63,6300,0.16666666666666666,1996.0,8,fc
64,6400,0.09090909090909093,1996.0,8,fc
65,6500,,,8,fc
66,6600,,1487.5,8,fc
67,6700,,,8,fc
68,6800,,1996.0,8,fc
69,6900,0.16666666666666666,1996.0,8,fc
70,7000,,,8,fc
71,7100,,1363.0,8,fc
72,7200,0.07692307692307693,1996.0,8,fc
73,7300,0.0,1996.0,8,fc
74,7400,0.2727272727272727,1996.0,8,fc
75,7500,0.4,1536.0,8,fc
76,7600,0.0,1843.0,8,fc
77,7700,0.2,1536.0,8,fc
78,7800,,,8,fc
79,7900,,825.0,8,fc
80,8000,0.05555555555555555,1996.0,8,fc
0,0,,1996.0,8,fc
1,100,,,8,fc
2,200,,1996.0,8,fc
3,300,1.0,1996.0,8,fc
4,400,,,8,fc
5,500,,1996.0,8,fc
6,600,0.4848484848484849,1996.0,8,fc
7,700,,,8,fc
8,800,,1996.0,8,fc
9,900,0.3,1996.0,8,fc
10,1000,0.5,1536.0,8,fc
11,1100,0.125,825.0,8,fc
12,1200,,,8,fc
13,1300,,1996.0,8,fc
14,1400,0.15384615384615385,1996.0,8,fc
15,1500,0.0,1996.0,8,fc
16,1600,0.3,1996.0,8,fc
17,1700,0.1111111111111111,1747.0,8,fc
18,1800,0.0,1363.0,8,fc
19,1900,0.0,1132.0,8,fc
20,2000,,,8,fc
21,2100,,1996.0,8,fc
22,2200,0.0,1996.0,8,fc
23,2300,0.16666666666666666,825.0,8,fc
24,2400,0.0,825.0,8,fc
25,2500,0.15384615384615385,825.0,8,fc
26,2600,,,8,fc
27,2700,,1996.0,8,fc
28,2800,0.16666666666666666,1536.0,8,fc
29,2900,0.2307692307692308,1747.0,8,fc
30,3000,0.1111111111111111,1363.0,8,fc
31,3100,,,8,fc
32,3200,,825.0,8,fc
33,3300,0.17647058823529413,1996.0,8,fc
34,3400,0.18181818181818185,1996.0,8,fc
35,3500,0.15384615384615385,1996.0,8,fc
36,3600,0.1,1996.0,8,fc
37,3700,0.1,1996.0,8,fc
38,3800,0.16666666666666666,1843.0,8,fc
39,3900,0.0,1843.0,8,fc
40,4000,,,8,fc
41,4100,,1747.0,8,fc
42,4200,,,8,fc
43,4300,,1996.0,8,fc
44,4400,0.18181818181818185,1363.0,8,fc
45,4500,0.0,1747.0,8,fc
46,4600,0.2222222222222222,1747.0,8,fc
47,4700,0.18181818181818185,1996.0,8,fc
48,4800,0.1,825.0,8,fc
49,4900,0.18181818181818185,1843.0,8,fc
50,5000,0.2,1747.0,8,fc
51,5100,0.1111111111111111,1996.0,8,fc
52,5200,0.08333333333333333,1996.0,8,fc
53,5300,0.18181818181818185,1747.0,8,fc
54,5400,0.0,825.0,8,fc
55,5500,0.2222222222222222,825.0,8,fc
56,5600,0.07692307692307693,1996.0,8,fc
57,5700,,,8,fc
58,5800,,1536.0,8,fc
59,5900,0.09090909090909093,1996.0,8,fc
60,6000,0.2,1747.0,8,fc
61,6100,0.1,1996.0,8,fc
62,6200,,,8,fc
63,6300,,825.0,8,fc
64,6400,0.1111111111111111,1536.0,8,fc
65,6500,0.3333333333333333,1996.0,8,fc
66,6600,0.16666666666666666,825.0,8,fc
67,6700,,,8,fc
68,6800,,1996.0,8,fc
69,6900,0.16666666666666666,1747.0,8,fc
70,7000,0.2,1363.0,8,fc
71,7100,0.1,1996.0,8,fc
72,7200,,,8,fc
73,7300,,1536.0,8,fc
74,7400,0.1,1996.0,8,fc
75,7500,0.2,1536.0,8,fc
76,7600,0.0,1363.0,8,fc
77,7700,,,8,fc
78,7800,,1996.0,8,fc
79,7900,0.15384615384615385,1363.0,8,fc
80,8000,0.1111111111111111,1747.0,8,fc
0,0,,1996.0,8,fc
1,100,,,8,fc
2,200,,1996.0,8,fc
3,300,0.6153846153846154,1996.0,8,fc
4,400,0.8888888888888888,1996.0,8,fc
5,500,0.9230769230769232,1996.0,8,fc
6,600,0.9230769230769232,1996.0,8,fc
7,700,,,8,fc
8,800,,1363.0,8,fc
