time[ms],cpu_load,cpu_scaling_freq
0,,1708.0
100,0.9375,1708.0
200,0.75,1708.0
300,0.8888888888888888,1708.0
400,1.0,1708.0
500,0.4375,1708.0
600,0.8888888888888888,1708.0
700,,
800,,1708.0
900,0.7692307692307693,1708.0
1000,0.9166666666666666,1708.0
1100,0.625,1708.0
1200,0.7,1708.0
1300,0.7142857142857143,1708.0
1400,0.8181818181818182,1708.0
1500,,
1600,,1708.0
1700,0.8461538461538461,1708.0
1800,0.9090909090909091,1708.0
1900,0.8181818181818182,1708.0
2000,,
2100,,1708.0
2200,0.8,1708.0
2300,0.7777777777777778,1708.0
2400,0.7692307692307693,1708.0
2500,,
2600,,1708.0
2700,0.55,1708.0
2800,0.7272727272727273,1708.0
2900,0.8888888888888888,1708.0
3000,0.8181818181818182,1708.0
3100,,
3200,,1708.0
3300,0.7,1708.0
3400,0.9166666666666666,1708.0
3500,0.6363636363636364,1708.0
3600,,
3700,,1708.0
3800,0.35294117647058826,1708.0
3900,1.0,1708.0
4000,0.5833333333333334,1708.0
4100,0.75,1708.0
4200,0.8181818181818182,1708.0
4300,0.7,1708.0
4400,,
4500,,1708.0
4600,0.7272727272727273,1708.0
4700,0.6666666666666666,1708.0
4800,0.8461538461538461,1708.0
4900,0.6666666666666666,1708.0
5000,0.8181818181818182,1708.0
5100,0.7777777777777778,1708.0
5200,0.6666666666666666,1708.0
5300,0.7,1708.0
5400,0.8181818181818182,1708.0
5500,0.7272727272727273,1708.0
5600,,
5700,,1708.0
5800,0.7692307692307693,1708.0
5900,0.7272727272727273,1708.0
6000,0.8333333333333334,1708.0
6100,0.7692307692307693,1708.0
6200,,
6300,,1708.0
6400,0.8333333333333334,1708.0
6500,0.6,1708.0
6600,0.75,1708.0
6700,,
6800,,1708.0
6900,0.47368421052631576,1708.0
7000,0.8461538461538461,1708.0
7100,,
7200,,1708.0
7300,0.7692307692307693,1708.0
7400,0.6666666666666666,1708.0
7500,0.7777777777777778,1708.0
7600,0.8181818181818182,1708.0
7700,,
7800,,1708.0
7900,0.6,1708.0
8000,0.8333333333333334,1708.0
