,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
3,300,0.8,1708.0,6,ask
4,400,,,6,ask
5,500,,1708.0,6,ask
6,600,0.7826086956521741,1708.0,6,ask
7,700,,,6,ask
8,800,,1708.0,6,ask
9,900,0.8888888888888888,1708.0,6,ask
10,1000,0.8333333333333334,1708.0,6,ask
11,1100,0.9230769230769232,1708.0,6,ask
12,1200,0.7,1708.0,6,ask
13,1300,,,6,ask
14,1400,,1708.0,6,ask
15,1500,0.7777777777777778,1708.0,6,ask
16,1600,0.5555555555555556,1708.0,6,ask
17,1700,0.6363636363636364,1708.0,6,ask
18,1800,,,6,ask
19,1900,,1708.0,6,ask
20,2000,,,6,ask
21,2100,,1708.0,6,ask
22,2200,0.7272727272727273,1708.0,6,ask
23,2300,0.6666666666666666,1708.0,6,ask
24,2400,0.8461538461538461,1708.0,6,ask
25,2500,,,6,ask
26,2600,,1708.0,6,ask
27,2700,0.6111111111111112,1708.0,6,ask
28,2800,0.8181818181818182,1708.0,6,ask
29,2900,0.7777777777777778,1708.0,6,ask
30,3000,0.6923076923076923,1708.0,6,ask
31,3100,0.9,1708.0,6,ask
32,3200,0.7272727272727273,1708.0,6,ask
33,3300,0.875,1708.0,6,ask
34,3400,0.7777777777777778,1708.0,6,ask
35,3500,0.8333333333333334,1708.0,6,ask
36,3600,,,6,ask
37,3700,,1708.0,6,ask
38,3800,,,6,ask
39,3900,,1708.0,6,ask
40,4000,0.7857142857142857,1708.0,6,ask
41,4100,0.8181818181818182,1708.0,6,ask
42,4200,0.8461538461538461,1708.0,6,ask
43,4300,0.7777777777777778,1708.0,6,ask
44,4400,0.9,1708.0,6,ask
45,4500,,,6,ask
46,4600,,1516.0,6,ask
47,4700,0.7857142857142857,1708.0,6,ask
48,4800,0.7,1708.0,6,ask
49,4900,0.7777777777777778,1708.0,6,ask
50,5000,0.8,1708.0,6,ask
51,5100,0.8888888888888888,1708.0,6,ask
52,5200,0.7272727272727273,1708.0,6,ask
53,5300,0.6666666666666666,1708.0,6,ask
54,5400,0.875,1708.0,6,ask
55,5500,0.8571428571428571,1708.0,6,ask
56,5600,,,6,ask
57,5700,,1708.0,6,ask
58,5800,0.6666666666666666,1708.0,6,ask
59,5900,0.7,1708.0,6,ask
