time[ms],cpu_load,cpu_scaling_freq
0,,1996.0
100,0.8461538461538461,1996.0
200,0.9166666666666666,1996.0
300,,
400,,1996.0
500,0.9333333333333333,1996.0
600,1.0,1996.0
700,,
800,,1996.0
900,0.7272727272727273,1996.0
1000,0.2222222222222222,1996.0
1100,0.4,1536.0
1200,0.5,1536.0
1300,0.4166666666666667,1536.0
1400,0.2,825.0
1500,,
1600,,1996.0
1700,0.4166666666666667,825.0
1800,0.18181818181818182,1747.0
1900,0.3076923076923077,1536.0
2000,0.3333333333333333,1363.0
2100,0.125,1363.0
2200,0.2727272727272727,1996.0
2300,0.3,1996.0
2400,0.0,1996.0
2500,,
2600,,1996.0
2700,0.2,825.0
2800,0.14285714285714285,1747.0
2900,0.36363636363636365,1996.0
3000,0.3333333333333333,1132.0
3100,,
3200,,1996.0
3300,0.18181818181818182,1996.0
3400,0.16666666666666666,1996.0
3500,0.3333333333333333,1132.0
3600,0.38461538461538464,1747.0
3700,0.14285714285714285,1996.0
3800,0.18181818181818182,1996.0
3900,0.25,1536.0
4000,0.1111111111111111,1363.0
4100,0.25,1132.0
4200,0.3,825.0
4300,0.0,1747.0
4400,,
4500,,
4600,,
4700,,
4800,,
4900,,
5000,,
5100,,
5200,,
5300,,
5400,,
5500,,
5600,,
5700,,
5800,,
5900,,
6000,,
6100,,
6200,,
6300,,
6400,,1996.0
6500,,
6600,,1843.0
6700,0.18181818181818182,1996.0
6800,0.4444444444444444,1132.0
6900,0.14285714285714285,825.0
7000,0.2727272727272727,1996.0
7100,0.25,1996.0
7200,,
7300,,1996.0
7400,0.35294117647058826,1843.0
7500,,
7600,,1363.0
7700,0.3333333333333333,1747.0
7800,0.2,1363.0
7900,0.23076923076923078,825.0
8000,0.1111111111111111,1132.0
